"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
"2004","ALASKA","AK","DISTRICT 1","02001","US PRESIDENT","OTHER","OTHER","452","10417","20250821","TOTAL"
"2004","ARKANSAS","AR","MONROE","05095","US PRESIDENT","OTHER","OTHER","32","3667","20250821","TOTAL"
"2004","CALIFORNIA","CA","KERN","06029","US PRESIDENT","OTHER","OTHER","1838","210858","20250821","TOTAL"
"2004","FLORIDA","FL","PASCO","12101","US PRESIDENT","OTHER","OTHER","2937","190916","20250821","TOTAL"
"2004","ILLINOIS","IL","WILL","17197","US PRESIDENT","OTHER","OTHER","1686","246409","20250821","TOTAL"
"2004","INDIANA","IN","LAWRENCE","18093","US PRESIDENT","OTHER","OTHER","145","17698","20250821","TOTAL"
"2004","MISSOURI","MO","CASS","29037","US PRESIDENT","OTHER","OTHER","283","44217","20250821","TOTAL"
"2004","MISSOURI","MO","DENT","29065","US PRESIDENT","OTHER","OTHER","70","6304","20250821","TOTAL"
"2004","MISSOURI","MO","SALINE","29195","US PRESIDENT","OTHER","OTHER","71","9939","20250821","TOTAL"
"2004","NEBRASKA","NE","GAGE","31067","US PRESIDENT","OTHER","OTHER","154","10384","20250821","TOTAL"
"2004","PENNSYLVANIA","PA","JUNIATA","42067","US PRESIDENT","OTHER","OTHER","65","10006","20250821","TOTAL"
"2004","SOUTH CAROLINA","SC","SALUDA","45081","US PRESIDENT","OTHER","OTHER","40","7578","20250821","TOTAL"
"2004","TEXAS","TX","CLAY","48077","US PRESIDENT","OTHER","OTHER","18","5288","20250821","TOTAL"
"2004","TEXAS","TX","SHERMAN","48421","US PRESIDENT","OTHER","OTHER","0","1066","20250821","TOTAL"
"2004","VIRGINIA","VA","MECKLENBURG","51117","US PRESIDENT","OTHER","OTHER","168","12780","20250821","TOTAL"
"2004","VIRGINIA","VA","PULASKI","51155","US PRESIDENT","OTHER","OTHER","172","14251","20250821","TOTAL"
"2004","ALABAMA","AL","AUTAUGA","01001","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","15196","20081","20250821","TOTAL"
"2004","ALABAMA","AL","AUTAUGA","01001","US PRESIDENT","JOHN KERRY","DEMOCRAT","4758","20081","20250821","TOTAL"
"2004","ALABAMA","AL","AUTAUGA","01001","US PRESIDENT","OTHER","OTHER","127","20081","20250821","TOTAL"
"2004","ALABAMA","AL","BALDWIN","01003","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","52971","69320","20250821","TOTAL"
"2004","ALABAMA","AL","BALDWIN","01003","US PRESIDENT","JOHN KERRY","DEMOCRAT","15599","69320","20250821","TOTAL"
"2004","ALABAMA","AL","BALDWIN","01003","US PRESIDENT","OTHER","OTHER","750","69320","20250821","TOTAL"
"2004","ALABAMA","AL","BARBOUR","01005","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","5899","10777","20250821","TOTAL"
"2004","ALABAMA","AL","BARBOUR","01005","US PRESIDENT","JOHN KERRY","DEMOCRAT","4832","10777","20250821","TOTAL"
"2004","ALABAMA","AL","BARBOUR","01005","US PRESIDENT","OTHER","OTHER","46","10777","20250821","TOTAL"
"2004","ALABAMA","AL","BIBB","01007","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","5472","7600","20250821","TOTAL"
"2004","ALABAMA","AL","BIBB","01007","US PRESIDENT","JOHN KERRY","DEMOCRAT","2089","7600","20250821","TOTAL"
"2004","ALABAMA","AL","BIBB","01007","US PRESIDENT","OTHER","OTHER","39","7600","20250821","TOTAL"
"2004","ALABAMA","AL","BLOUNT","01009","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","17386","21504","20250821","TOTAL"
"2004","ALABAMA","AL","BLOUNT","01009","US PRESIDENT","JOHN KERRY","DEMOCRAT","3938","21504","20250821","TOTAL"
"2004","ALABAMA","AL","BLOUNT","01009","US PRESIDENT","OTHER","OTHER","180","21504","20250821","TOTAL"
"2004","ALABAMA","AL","BULLOCK","01011","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","1494","4717","20250821","TOTAL"
"2004","ALABAMA","AL","BULLOCK","01011","US PRESIDENT","JOHN KERRY","DEMOCRAT","3210","4717","20250821","TOTAL"
"2004","ALABAMA","AL","BULLOCK","01011","US PRESIDENT","OTHER","OTHER","13","4717","20250821","TOTAL"
"2004","ALABAMA","AL","BUTLER","01013","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","4979","8416","20250821","TOTAL"
"2004","ALABAMA","AL","BUTLER","01013","US PRESIDENT","JOHN KERRY","DEMOCRAT","3413","8416","20250821","TOTAL"
"2004","ALABAMA","AL","BUTLER","01013","US PRESIDENT","OTHER","OTHER","24","8416","20250821","TOTAL"
"2004","ALABAMA","AL","CALHOUN","01015","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","29814","45249","20250821","TOTAL"
"2004","ALABAMA","AL","CALHOUN","01015","US PRESIDENT","JOHN KERRY","DEMOCRAT","15083","45249","20250821","TOTAL"
